Timestamp,Device,Action
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
